file,number,has_suffix,creates_table,creates_function,creates_policy,creates_trigger,storage,cron
0158_ai_fit_scores_and_rpcs.sql,0158,no,,y,,,,
0159_admin_list_ai_curation.sql,0159,no,,y,,,,
0160_ai_config_suggestions_violations.sql,0160,no,y,y,y,,,
0161_review_list_ai_fields.sql,0161,no,,y,,,,
0162_behavior_score_and_dashboard.sql,0162,no,,y,,,,
0163_ai_store_profiles.sql,0163,no,y,,y,,,
0164_profile_driven_scoring.sql,0164,no,,y,,,,
0165_store_key_admin_and_filters.sql,0165,no,,y,,,,
0166_audio_features_raw_and_version.sql,0166,no,,y,,,,
0167_audio_quality_gate.sql,0167,no,y,y,y,,,
0167b_review_list_quality_fields.sql,0167,yes,,y,,,,
0168_chart_tiebreaks_and_likecount.sql,0168,no,,y,,,,
0169_audio_embeddings_poc.sql,0169,no,y,y,y,,,
0170_embedding_export_import.sql,0170,no,,y,,,,
0171_embedding_review.sql,0171,no,y,y,y,,,
0171b_embedding_review_rpcs.sql,0171,yes,,y,,,,
0172_embedding_tuning_config.sql,0172,no,y,y,y,,,
0173_store_guardrails.sql,0173,no,y,,y,,,
0173b_guardrail_engine_and_fit.sql,0173,yes,,y,,,,
0174_guardrail_dashboard_trust.sql,0174,no,y,y,y,,,
0175_trust_policy_wiring.sql,0175,no,,y,,,,
0175b_review_list_owner_trust.sql,0175,yes,,y,,,,
0176_high_risk_review_and_uploader_mgmt.sql,0176,no,y,y,y,,,
0177_full_rereview_batch.sql,0177,no,y,y,y,,,
0177b_refine_rereview_flags.sql,0177,yes,,y,,,,
0178_rereview_queue_actions.sql,0178,no,,y,,,,
0179_apply_ai_meta_and_recompute.sql,0179,no,,y,,,,
0180_playlist_flow_engine.sql,0180,no,y,y,y,,,
0181_playlist_auto_reorder.sql,0181,no,y,y,y,,,
0182_business_early_skip_exclusion.sql,0182,no,y,y,y,,,
0183_store_archetype_builder.sql,0183,no,,y,,,,
0184_metadata_caps_tempo_admin_edit.sql,0184,no,,y,,,,
0185_salesperson_self_dashboard.sql,0185,no,y,y,y,,,
0186_salesperson_profile_autolink.sql,0186,no,,y,,,,
0187_salesperson_trends_risk.sql,0187,no,,y,,,,
0188_update_metadata_and_approve.sql,0188,no,,y,,,,
0189_restaurant_subtypes.sql,0189,no,,y,,,,
0190_finalize_preserve_cleanup_flags.sql,0190,no,,y,,,,
0191_metadata_audit_log.sql,0191,no,y,y,y,y,,
0192_rbac_admin_roles.sql,0192,no,y,y,y,,,
0192b_rbac_admin_management.sql,0192,yes,,y,,,,
0193_rbac_enforcement_1.sql,0193,no,,y,,,,
0194_upload_integrity_audit.sql,0194,no,y,y,y,,,
0194b_integrity_admin_rpcs.sql,0194,yes,,y,,,,
0195_sales_agent_free_trial.sql,0195,no,y,y,y,,,
0195b_free_trial_hardening.sql,0195,yes,,y,,,,
0196_upload_integrity_hardening.sql,0196,no,,y,,,,
0197_rbac_financial_guard_hardening.sql,0197,no,,y,,,,
0204_sales_partner_applications.sql,0204,no,y,y,y,,,
0205_chart_genre_use_main_genre.sql,0205,no,,y,,,,
0206_search_library_genre_use_main_genre.sql,0206,no,,y,,,,
0207_search_normalized_genre_matching.sql,0207,no,,y,,,,
0208_drop_legacy_genre_refs_in_functions.sql,0208,no,,y,,,,
0209_playlist_quick_add.sql,0209,no,,y,,,,
0210_relax_audio_quality_gate.sql,0210,no,,y,,,,
0211_rereview_use_new_quality_policy.sql,0211,no,,y,,,,
0212_admin_tracks_paginate.sql,0212,no,,y,,,,
0213_brand_settings.sql,0213,no,y,y,y,,y,
0214_schedule_days_array.sql,0214,no,,y,,,,
0214_trial_reminder_emails.sql,0214,no,,y,,,,
0215_normalize_playlist_time_slot.sql,0215,no,,,,,,
0216_push_subscriptions.sql,0216,no,y,y,y,,,
0217_collab_recommendation.sql,0217,no,,y,,,,
0218_playlist_collab_lock.sql,0218,no,y,y,y,,,
0219_clap_curation_infra.sql,0219,no,y,y,y,y,,
0220_genre_block_taxonomy_seed.sql,0220,no,,,,,,
0221_clap_recommendation_rpc.sql,0221,no,,y,,,,
0222_store_clap_embedding_rpc.sql,0222,no,,y,,,,
0223_phase0_app_internal_secrets.sql,0223,no,y,y,,,,
0224_phase0_audio_qc_reports.sql,0224,no,y,y,y,,,
0225_phase0_qc_pgnet_trigger.sql,0225,no,y,y,y,y,,
0226_phase0_qc_admin_observability.sql,0226,no,,y,,,,
0227_phase0_qc_v2_calibration.sql,0227,no,,y,,,,
0228_phase_x1_dsp_taxonomy.sql,0228,no,y,y,y,,,
0229_phase_x1_extend_track_ai_predictions.sql,0229,no,,,,,,
0230_phase_x1_1_genre_classification.sql,0230,no,,y,,,,
0231_placement_genre_exclusion_hardening.sql,0231,no,,y,,,,
0232_placement_risk_flags_observe_mode.sql,0232,no,y,y,y,,,
0233_placement_risk_beauty_categories_and_dedup_guard.sql,0233,no,,y,,,,
0234_store_fit_gate_v1.sql,0234,no,,y,,,,
0235_phase_x1_2_mood_classification.sql,0235,no,,y,,,,
0236_phase_x1_2_2_add_romantic_mood.sql,0236,no,,,,,,
0237_phase_x1_2_3_mood_taxonomy_expansion.sql,0237,no,,,,,,
0238_phase_x1_3_storetype_classification.sql,0238,no,,y,,,,
0239_phase_x2_1_auto_placement_ai_boost.sql,0239,no,,y,,,,
0240_phase_x1_3_3_store_type_alias.sql,0240,no,y,y,y,,,
0241_phase_x2_2_fit_score_ai_boost.sql,0241,no,,y,,,,
0242_phase_x2_3_chromaprint_fingerprint.sql,0242,no,y,y,y,,,
0243_phase_x2_3_fingerprint_bigint_hotfix.sql,0243,no,,y,,,,
0244_phase_x2_3_fingerprint_failure_tracking.sql,0244,no,,y,,,,
0245_phase_x2_3_audio_corruption_queue.sql,0245,no,,y,,,,
0246_phase_x3_track_placement_editor.sql,0246,no,y,y,y,,,
0247_phase_x3_2_bulk_operations.sql,0247,no,y,y,y,,,
0248_phase_x3_3_qc_queue_automation.sql,0248,no,y,y,y,,,
0249_phase_x3_4_qc_rule_management.sql,0249,no,y,y,y,,,
0250_phase_x4_0_behavior_learning_foundation.sql,0250,no,y,y,y,,,
0251_phase_x4_1_behavior_feedback_engine.sql,0251,no,,y,,,,
0252_phase_x4_2_store_learning_engine.sql,0252,no,y,y,y,,,
0253_phase_x4_3_playback_events_v2.sql,0253,no,y,y,y,,,
0254_phase_x4_3_1_event_coverage_patch.sql,0254,no,,y,,,,
0255_phase_x4_4_behavior_v2_dual_run.sql,0255,no,y,y,y,,,
0256_phase_x4_4_1_drop_legacy_overload.sql,0256,no,,,,,,
0257_fix_ai_compute_fit_reason_codes_concat.sql,0257,no,,y,,,,
0258_store_genre_placement_policy.sql,0258,no,y,y,y,,,
0259_phase_x5_1_genre_guardrail_hotfix.sql,0259,no,,y,,,,
0260_phase_x5_2_store_profile_engine.sql,0260,no,y,y,y,,,
0261_phase_x5_3_audio_feature_backfill.sql,0261,no,y,y,,y,,
0262_admin_playlist_inspector_quick_edit.sql,0262,no,y,y,y,,,
0263_fix_qc_queue_generate_timeout.sql,0263,no,,y,,,,
0264_qc_queue_processing_ux.sql,0264,no,y,y,y,y,,
0265_qc_queue_inline_actions.sql,0265,no,,y,,,,
0266_admin_feedback_learning_loop.sql,0266,no,y,y,y,,,
0267_feedback_summary_ui.sql,0267,no,,y,,,,
0268_phase_x5_4_md_store_genre_policy.sql,0268,no,y,y,y,,,
0269_md_store_alias_expansion.sql,0269,no,,,,,,
0270_md_genre_normalize_rnb_hotfix.sql,0270,no,,y,,,,
0271_md_excluded_protection_hotfix.sql,0271,no,,y,,,,
0272_md_genre_normalize_dnb_hotfix.sql,0272,no,,y,,,,
0273_admin_list_md_policy_violations_register.sql,0273,no,,y,,,,
0274_get_playlist_tracks_exclude_review_needed.sql,0274,no,,y,,,,
0275_anti_abuse_daily_user_track_cap.sql,0275,no,,y,,y,,
0276_anti_abuse_rpc_filter.sql,0276,no,,y,,,,
0277_anti_abuse_candidate_rpc.sql,0277,no,,y,,,,
0278_anti_abuse_rpc_filter_gap_fill.sql,0278,no,,y,,,,
0279_playback_events_v2_rls_tighten.sql,0279,no,,,y,,,
0280_admin_business_live_rpcs.sql,0280,no,,y,,,,
0281_settlement_eligible_for_payout_restore.sql,0281,no,,y,,,,
0282_schedule_auto_fix_archive_empty.sql,0282,no,y,,,,,
0283_business_fallback_and_playable_summary.sql,0283,no,,y,,,,
0284_support_inquiries.sql,0284,no,y,y,y,y,,
0285_kakao_share_method.sql,0285,no,,,,,,
0286_phase_x5_0_genre_guardrail_engine.sql,0286,no,y,y,y,,,
0287_support_contact_events.sql,0287,no,y,y,y,,,
0288_get_my_upload_quota.sql,0288,no,,y,,,,
0289_inquiry_events_and_reply.sql,0289,no,y,y,y,y,,
0290_hospital_strict_instrumental_policy.sql,0290,no,,y,,,,
0291_boutique_strict_instrumental_policy.sql,0291,no,,y,,,,
0292_admin_curator_soft_delete.sql,0292,no,y,y,y,,,
0293_quota_enforcement_consistency_fix.sql,0293,no,,y,,,,
0294_business_live_ambiguous_column_fix.sql,0294,no,,y,,,,
0295_artist_plan_type_phase1.sql,0295,no,,y,,,,
0296_artist_plan_type_phase2.sql,0296,no,,y,,,,
0297_admin_member_list_plan_type.sql,0297,no,,y,,,,
0298_admin_update_artist_plan_type.sql,0298,no,y,y,y,,,
0299_verify_sales_agent_code_plan_type.sql,0299,no,,y,,,,
0300_payout_pii_collection.sql,0300,no,,y,,,,
0301_settlement_pii_readiness.sql,0301,no,,y,,,,
0302_list_pending_payout_pii_fields.sql,0302,no,,y,,,,
0303_settlement_hold_status.sql,0303,no,,y,,,,
0304_payout_intake_submissions.sql,0304,no,y,y,y,,,
0305_payout_intake_approval_flow.sql,0305,no,,y,,,,
0306_artist_plan_payment_split.sql,0306,no,,y,,,,
0307_subscriptions_check_artist_plans_hotfix.sql,0307,no,,,,,,
0308_payapp_webhook_artist_plans.sql,0308,no,,y,,,,
0309_admin_force_activate_artist_plans.sql,0309,no,,y,,,,
0310_list_webhook_events_plan_type.sql,0310,no,,y,,,,
0311_settlement_manual_carryover_schema.sql,0311,no,y,y,y,y,,
0312_settlement_carryover_rpc.sql,0312,no,,y,,,,
0313_settlement_generate_carryover_applied.sql,0313,no,,y,,,,
0314_settlement_carryover_allow_held.sql,0314,no,,y,,,,
0315_settlement_auto_consolidation.sql,0315,no,,y,,,,
0316_settlement_policy_min_payout_10k.sql,0316,no,,,,,,
0317_settlement_data_correction_may_jun.sql,0317,no,,,,,,
0318_settlement_mark_paid_expanded.sql,0318,no,,y,,,,
0319_sales_agent_monthly_filter.sql,0319,no,,y,,,,
0320_admin_audio_distribution_stats.sql,0320,no,,y,,,,
0321_settlement_adjustments_ledger.sql,0321,no,y,y,y,y,,
0322_refund_settlement_impact.sql,0322,no,,y,,,,
0323_settlement_generate_adjustments.sql,0323,no,,y,,,,
0324_audio_qc_artist_guidance.sql,0324,no,,y,,,,
0325_payapp_replay_idempotency.sql,0325,no,,y,,,,
0326_payment_orders_settlement_period_month.sql,0326,no,,y,,y,,
0327_use_settlement_period_month.sql,0327,no,,y,,,,
0328_cold_start_recommendation_boost.sql,0328,no,,y,,,,
0329_stream_dedup_30s_flag_based.sql,0329,no,,y,,,,
0330_exclusion_breakdown_dedup_and_volume.sql,0330,no,,y,,,,
0331_store_archetype_text_import.sql,0331,no,,y,,,,
0332_admin_decision_learning.sql,0332,no,y,y,y,,,
0333_track_pattern_predictions.sql,0333,no,y,y,y,y,,
0334_phase_3c_per_store_predictions.sql,0334,no,,y,,,,
0335_phase_4_weight_diagnostics.sql,0335,no,y,y,y,y,,
0336_phase_4b_weight_approval_queue.sql,0336,no,y,y,y,,,
0337_phase_4c_per_segment_weights_and_cron.sql,0337,no,y,y,y,,,y
0338_phase_4d_auto_recompute_and_effects.sql,0338,no,y,y,y,y,,y
0339_phase_5_business_owner_exclusion.sql,0339,no,,y,y,y,,
0340_phase_6_embedding_auto_pipeline.sql,0340,no,y,y,y,y,,y
0341_phase_7_daily_playlist_refresh.sql,0341,no,y,y,y,,,
0342_fix_ai_compute_fit_constraints.sql,0342,no,,y,,,,
0343_phase_8_learning_loop_closure.sql,0343,no,,y,,,,y
0344_fix_embedding_jobs_service_role.sql,0344,no,,y,,,,
0345_phase_9_store_track_reactions.sql,0345,no,y,y,y,,,
0346_phase_9b_store_learning_dashboard.sql,0346,no,,y,,,,
0347_phase_9c_reaction_soft_fit_adjustment.sql,0347,no,,y,,,,
0348_settlement_versioning.sql,0348,no,,y,,,,
0349_b2b_franchise_music_policy.sql,0349,no,y,y,y,y,,
0350_separate_artists_stores_enterprise.sql,0350,no,,y,,,,
0351_enterprise_accounts.sql,0351,no,y,y,y,y,,
0352_enterprise_regions.sql,0352,no,y,y,y,y,,
0353_store_monitoring.sql,0353,no,y,y,y,,,
0355_repair_store_monitoring.sql,0355,no,y,y,y,,,
0356_store_now_playing.sql,0356,no,,y,,,,
0357_repair_store_now_playing.sql,0357,no,,y,,,,
0358_repair_store_now_playing_rpc.sql,0358,no,,y,,,,
0359_policy_deployment_success.sql,0359,no,y,y,y,y,,
0360_list_deployable_policies.sql,0360,no,,y,,,,
0361_fix_admin_list_franchises_ambiguity.sql,0361,no,,y,,,,
0362_fix_admin_link_franchise_store_user_check.sql,0362,no,,y,,,,
0363_enterprise_invite_onboarding.sql,0363,no,y,y,y,y,,
0364_enterprise_hq_profile_dashboard.sql,0364,no,y,y,y,y,,
0367a_settlement_table.sql,0367,yes,y,,y,y,,
0367b_settlement_rpcs.sql,0367,yes,,y,,,,
0367c_settlement_storage.sql,0367,yes,,,y,,y,
0368_enterprise_dashboard_v2.sql,0368,no,,y,,,,
0369_enterprise_payment_settings_admin_only.sql,0369,no,,y,,,,
